ward name,borough,Usual residents aged 3+,Main language is English,Main language is English percentage,Language not English: Speak English very well,Language not English: Speak English well,Language not English: Cannot speak English well,Language not English: Cannot speak English
Laycock,Islington,12821,10637,83,1189,626,308,61
Mildmay,Islington,13733,11499,84,1154,672,343,65
St Mary's & St James',Islington,11264,9389,83,1245,390,212,28
St Peter's & Canalside,Islington,11242,8865,79,1527,558,251,41
Tollington,Islington,13525,10908,81,1388,772,395,62
Tufnell Park,Islington,12067,9826,81,1301,624,278,38
Abingdon,Kensington and Chelsea,7961,5821,73,1393,570,167,10
Brompton & Hans Town,Kensington and Chelsea,7877,5903,75,1371,475,121,7
Campden,Kensington and Chelsea,8228,6403,78,1276,415,109,25
Chelsea Riverside,Kensington and Chelsea,7284,5809,80,777,480,195,23
Colville,Kensington and Chelsea,8366,6784,81,904,453,188,37
Courtfield,Kensington and Chelsea,8020,5715,71,1721,443,111,30
Dalgarno,Kensington and Chelsea,6768,5460,81,608,499,174,27
Earl's Court,Kensington and Chelsea,8676,5900,68,1836,682,232,26
Golborne,Kensington and Chelsea,8682,6712,77,897,728,294,51
Holland,Kensington and Chelsea,8996,6556,73,1456,697,247,40
Norland,Kensington and Chelsea,5319,4422,83,643,198,52,4
Notting Dale,Kensington and Chelsea,9123,7225,79,797,697,363,41
Pembridge,Kensington and Chelsea,5227,3988,76,849,296,86,8
Queen's Gate,Kensington and Chelsea,7450,5182,70,1563,562,134,9
Redcliffe,Kensington and Chelsea,8920,6582,74,1714,457,148,19
Royal Hospital,Kensington and Chelsea,8278,6454,78,1313,343,150,18
St. Helen's,Kensington and Chelsea,6126,5208,85,565,244,99,10
Stanley,Kensington and Chelsea,8334,6571,79,1193,410,134,26
Alexandra,Kingston upon Thames,5642,4833,86,411,276,105,17
Berrylands,Kingston upon Thames,6264,5593,89,384,199,76,12
Canbury Gardens,Kingston upon Thames,7719,6223,81,841,448,188,19
Chessington South & Malden Rushett,Kingston upon Thames,9465,8441,89,502,350,155,17
Coombe Hill,Kingston upon Thames,7300,5718,78,855,503,205,19
Coombe Vale,Kingston upon Thames,9984,8161,82,905,596,284,38
Green Lane & St James,Kingston upon Thames,6623,5266,80,624,497,204,32
Hook & Chessington North,Kingston upon Thames,10401,9124,88,609,453,187,28
King George's & Sunray,Kingston upon Thames,5607,4484,80,505,391,200,27
Kingston Gate,Kingston upon Thames,10531,8815,84,960,503,211,42
Kingston Town,Kingston upon Thames,10026,8111,81,1039,651,198,27
Motspur Park & Old Malden East,Kingston upon Thames,6819,5741,84,502,416,145,15
New Malden Village,Kingston upon Thames,9554,7304,76,924,836,439,51
Norbiton,Kingston upon Thames,10680,8133,76,1188,939,373,47
Old Malden,Kingston upon Thames,6469,5323,82,510,423,182,31
St Mark's & Seething Wells,Kingston upon Thames,11381,9681,85,1047,470,167,16
Surbiton Hill,Kingston upon Thames,10377,8794,85,839,491,212,41
Tolworth,Kingston upon Thames,10665,8635,81,958,739,282,51
Tudor,Kingston upon Thames,7021,6029,86,644,252,91,5
Brixton Acre Lane,Lambeth,14952,13125,88,946,526,307,48
Brixton North,Lambeth,15827,12194,77,1486,1258,743,146
Brixton Rush Common,Lambeth,14126,11656,83,1088,794,487,101
Brixton Windrush,Lambeth,9673,8197,85,696,452,278,50
Clapham Common & Abbeville,Lambeth,9754,8761,90,644,226,108,15
Clapham East,Lambeth,9703,8346,86,687,452,178,40
Clapham Park,Lambeth,12848,10362,81,1120,878,414,74
Clapham Town,Lambeth,15143,13226,87,1150,497,216,54
Gipsy Hill,Lambeth,10254,8868,86,660,466,200,60
Herne Hill & Loughborough Junction,Lambeth,15488,13364,86,984,695,375,70
Kennington,Lambeth,14627,12030,82,1277,791,449,80
Knight's Hill,Lambeth,15894,13424,84,1026,913,437,94
Myatt's Fields,Lambeth,10767,8974,83,753,608,369,63
Oval,Lambeth,11895,9390,79,1180,817,413,95
St Martin's,Lambeth,10041,8191,82,746,680,360,64
Stockwell East,Lambeth,10111,8136,80,838,589,373,175
Stockwell West & Larkhall,Lambeth,16164,12343,76,1694,1339,640,148
